# VP06   2013-02-25_12-03-06
# Elapsed time of measurement: 285 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56 => WFS with 14/28/56 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 79,  14,  1, 1,   22.10,   -3.21,  -20.62,   -6.09,   19.00,   -1.81,    2.53,    3.12
 37,  14,  2, 1,   23.52,   -2.37,  -20.64,  -24.13, -152.00,   -7.75,    0.34,    2.30
 61,  14,  3, 1,   22.45,   -3.02,  -20.62,  -20.85, -167.57,   -6.11,    1.48,    2.06
 13,  14,  4, 1,   20.61,   -3.06,  -20.11,  -27.15, -156.43,   -9.92,    0.60,    2.10
 85,  14,  5, 1,   23.66,   -3.25,  -19.97,  -86.62, -216.04,   -8.82,    0.41,    3.80
 44,  28,  6, 1,   23.61,   -2.20,  -20.64,  -22.95,    0.00,   -7.40,    0.19,    2.70
 76,  28,  7, 1,   20.20,   -3.31,  -20.57,  -13.52, -164.00,   -2.86,    0.58,    2.49
 40,  28,  8, 1,   23.35,   -2.10,  -20.48,  -24.39, -160.57,   -7.20,    0.31,    2.44
 20,  28,  9, 1,   22.32,   -2.60,  -20.33,  -28.08, -175.43,   -4.51,    2.00,    1.96
 24,  28, 10, 1,   22.82,   -2.23,  -20.48,  -20.56, -154.04,   -4.59,    0.76,    2.19
 65,  56, 11, 1,   21.60,   -2.94,  -20.53,  -21.72,  -11.00,   -9.42,    0.22,    1.46
 32,  56, 12, 1,   23.36,   -2.10,  -20.62,  -27.28, -188.00,   -8.44,    0.46,    2.90
 23,  56, 13, 1,   22.52,   -1.82,  -20.07,  -43.97, -180.57,  -13.24,    0.83,    2.18
 63,  56, 14, 1,   21.47,   -3.29,  -20.66,   -9.63, -140.43,   -5.54,    1.75,    2.07
 30,  56, 15, 1,   23.55,   -1.98,  -20.53,  -21.84, -140.04,   -8.57,    0.25,    1.95
 69,   0, 16, 1,   20.97,   -3.28,  -20.59,  -15.08,   -5.70,   -3.84,    1.44,    1.93
 83,   0, 17, 1,   22.26,   -3.29,  -20.51,  -21.26,   -5.70,   -6.26,    2.02,    2.07
 17,  14,  1, 1,   21.05,   -3.18,  -20.55,    4.97,   19.00,   -0.61,    2.57,    3.18
 58,  14,  2, 1,   22.21,   -3.07,  -20.54,  -24.63, -152.00,   -6.29,    0.15,    3.81
 81,  14,  3, 1,   21.95,   -2.98,  -20.33,  -25.40, -167.57,   -7.19,    0.71,    3.27
 43,  14,  4, 1,   23.60,   -2.15,  -20.60,  -25.93, -156.43,   -8.39,    0.82,    1.92
 19,  14,  5, 1,   22.07,   -2.85,  -20.28,  -46.58, -216.04,   -8.90,    0.91,   13.40
 74,  28,  6, 1,   19.69,   -3.69,  -20.61,   -9.33,    0.00,    0.55,    0.96,    2.40
 42,  28,  7, 1,   23.54,   -2.16,  -20.58,  -23.99, -164.00,   -7.64,    1.38,    2.20
 21,  28,  8, 1,   22.25,   -2.52,  -20.54,  -16.05, -160.57,   -1.22,    2.24,    1.96
 11,  28,  9, 1,   20.35,   -3.12,  -20.11,  -24.98, -175.43,   -7.79,    1.65,    2.07
 72,  28, 10, 1,   19.47,   -4.28,  -20.43,  -29.34, -154.04,   -2.83,    0.32,    3.80
  4,  56, 11, 1,   20.80,   -2.95,  -20.14,  -19.66,  -11.00,   -8.26,    1.68,    2.19
 38,  56, 12, 1,   23.55,   -2.35,  -20.42,  -29.55, -188.00,   -9.89,    0.84,    1.99
 84,  56, 13, 1,   21.49,   -3.39,  -20.28,  -36.97, -180.57,   -7.73,    0.71,    2.84
 33,  56, 14, 1,   23.59,   -2.25,  -20.67,  -20.63, -140.43,   -7.19,    1.64,    2.21
 15,  56, 15, 1,   20.71,   -3.27,  -20.46,  -14.08, -140.04,   -5.15,    1.02,    2.75
 70,   0, 16, 1,   21.09,   -3.28,  -20.63,  -13.89,   -5.70,   -4.08,    1.38,    1.83
 62,   0, 17, 1,   21.22,   -3.26,  -20.66,  -13.62,   -5.70,   -5.33,    0.24,    3.06
 50,  14,  1, 1,   23.65,   -2.34,  -20.75,  -11.13,   19.00,   -4.35,    0.92,    2.45
 49,  14,  2, 1,   23.46,   -2.41,  -20.72,  -15.26, -152.00,   -4.21,    1.19,    2.29
  6,  14,  3, 1,   20.97,   -3.22,  -20.32,  -13.53, -167.57,   -6.10,    2.40,    2.16
 39,  14,  4, 1,   23.35,   -2.04,  -20.47,  -34.40, -156.43,  -10.49,    0.62,    1.78
 71,  14,  5, 1,   22.58,   -5.78,  -20.39,  -94.89, -216.04,   -2.14,    2.86,    5.91
  2,  28,  6, 1,   20.70,   -3.24,  -20.32,  -13.18,    0.00,   -4.81,    1.28,    1.91
 48,  28,  7, 1,   23.58,   -2.45,  -20.64,  -26.22, -164.00,   -7.15,    1.21,    1.99
 78,  28,  8, 1,   21.69,   -3.65,  -20.52,  -18.43, -160.57,   -2.84,    1.23,    5.03
  8,  28,  9, 1,   21.00,   -2.91,  -20.28,  -16.23, -175.43,   -7.91,    2.17,    2.00
 68,  28, 10, 1,   21.22,   -3.16,  -20.58,  -19.48, -154.04,   -6.35,    0.84,    2.97
 47,  56, 11, 1,   23.41,   -2.20,  -20.53,  -26.10,  -11.00,   -7.50,    0.46,    3.23
 66,  56, 12, 1,   20.87,   -3.09,  -20.52,  -25.27, -188.00,   -7.19,    0.64,    2.84
 34,  56, 13, 1,   23.54,   -2.02,  -20.50,  -28.28, -180.57,   -9.70,    1.01,    2.36
 12,  56, 14, 1,   20.91,   -3.41,  -20.46,   -6.14, -140.43,   -3.24,    2.03,    3.09
 82,  56, 15, 1,   22.10,   -2.94,  -20.52,  -21.26, -140.04,   -6.62,    0.67,    2.40
 45,   0, 16, 1,   23.61,   -2.27,  -20.64,  -21.16,   -5.70,   -6.82,    0.70,    1.95
  7,   0, 17, 1,   21.27,   -3.16,  -20.37,  -12.21,   -5.70,   -6.85,    1.78,    1.99
 67,  14,  1, 1,   21.18,   -3.21,  -20.66,   -9.09,   19.00,   -3.27,    1.25,    3.07
  3,  14,  2, 1,   20.90,   -3.22,  -20.36,   -6.71, -152.00,   -3.45,    1.72,    2.11
 31,  14,  3, 1,   23.55,   -1.99,  -20.66,  -19.23, -167.57,   -6.94,    0.35,    1.93
 52,  14,  4, 1,   23.05,   -2.14,  -20.33,  -36.56, -156.43,   -9.85,    0.95,    2.81
 10,  14,  5, 1,   20.12,   -3.10,  -19.99,  -32.86, -216.04,  -10.67,    1.37,    2.14
 25,  28,  6, 1,   23.44,   -2.20,  -20.62,  -18.02,    0.00,   -6.72,    0.53,    1.96
  9,  28,  7, 1,   20.98,   -3.06,  -20.37,   -9.88, -164.00,   -5.46,    1.84,    2.07
 60,  28,  8, 1,   22.35,   -2.95,  -20.81,  -17.14, -160.57,   -4.77,    1.19,    2.12
 80,  28,  9, 1,   21.50,   -2.88,  -20.18,  -33.51, -175.43,   -8.39,    0.22,    4.24
  1,  28, 10, 1,   20.58,   -3.53,  -20.30,  -17.61, -154.04,   -5.14,    1.12,    2.93
