# VP01   2013-10-16_11-57-35
# Elapsed time of measurement: 466 s
# Visual calibration
# n,x,y,z,phi,std(phi)
0, 0.00, 0.00, 0.00, 0.00, 0.00


# Localization experiment
# mode: 0 => generic; 14/28/56/1456 => NFC-HOA with 14/28/56/14 loudspeakers
# trial_number, mode, source, n, x, y, z, phi, real_phi, delta, stdev, elapsed_time
 25,  14,  1, 1,   14.37,    6.87,  -29.65,   18.58,   19.00,   -5.09,    0.15,    4.65,   0
 10,  14,  2, 1,   14.62,    6.26,  -29.68,   23.38,   13.87,   -7.35,    0.37,    2.74,   0
 28,  14,  3, 1,   13.82,    7.42,  -29.75,    9.61,   -4.95,   -2.24,    0.03,    4.31,   0
 36,  14,  4, 1,   14.79,    6.96,  -29.50,   22.24,   -6.20,   -6.13,    0.45,    4.78,   0
 37,  14,  5, 1,   14.33,    7.10,  -29.65,   13.86,   -1.75,   -3.95,    0.47,    2.98,   0
 21,  28,  6, 1,   12.87,    7.45,  -29.93,   -0.57,    0.00,    1.21,    0.29,    3.67,   0
 71,  28,  7, 1,   13.04,    8.55,  -29.73,   -4.46,    1.87,    0.59,    0.53,    3.88,   0
102,  28,  8, 1,   13.16,    7.40,  -29.74,   -3.97,    2.05,   -0.34,    0.99,    3.84,   0
 24,  28,  9, 1,   11.82,    7.19,  -30.02,  -26.04,  -10.20,    3.79,    0.18,    3.15,   3
 92,  28, 10, 1,   12.32,    7.25,  -29.87,  -17.91,    0.25,    1.19,    0.28,    3.37,   3
 89,  56, 11, 1,   12.69,    7.47,  -29.79,  -10.19,  -11.00,   -0.08,    0.12,    3.03,   0
 41,  56, 12, 1,   11.96,    7.25,  -30.06,  -27.46,  -22.13,    3.04,    0.35,    3.72,   0
 93,  56, 13, 1,   12.26,    7.30,  -29.82,  -19.65,  -14.95,    1.10,    0.32,    5.99,   0
  7,  56, 14, 1,   13.63,    7.49,  -29.79,   11.20,   14.80,   -2.98,    0.35,    6.53,   3
 96,  56, 15, 1,   13.69,    7.91,  -29.60,    3.07,   17.25,   -2.50,    0.40,    4.74,   3
 13, 1456, 16, 1,   12.16,    7.23,  -29.99,  -12.47,  -11.00,    3.28,    0.06,    2.64,   0
 81, 1456, 17, 1,   14.18,    7.15,  -29.57,   11.51,   -1.13,   -4.47,    0.07,    6.72,   0
 66, 1456, 18, 1,   12.55,    7.95,  -29.88,  -10.54,  -11.95,    3.00,    0.09,    2.87,   0
 95, 1456, 19, 1,   12.03,    7.55,  -29.80,  -26.25,  -19.20,    0.49,    0.07,    3.16,   0
 91, 1456, 20, 1,   14.51,    7.35,  -29.45,   15.59,   14.25,   -5.12,    0.12,    4.89,   0
  5,   0, 21, 1,   12.51,    7.47,  -29.90,   -7.38,   -5.70,    0.69,    0.10,    2.61,   0
 40,   0, 22, 1,   12.83,    7.25,  -29.97,   -7.66,   -5.70,    1.82,    0.08,    1.18,   0
104,  14,  1, 1,   13.99,    6.50,  -29.59,   19.48,   19.00,   -4.75,    0.12,    2.87,   0
 29,  14,  2, 1,   14.78,    6.45,  -29.58,   23.37,   13.87,   -6.94,    0.52,    3.69,   0
 34,  14,  3, 1,   13.71,    8.03,  -29.67,    6.71,   -4.95,   -1.32,    0.32,    4.77,   0
 88,  14,  4, 1,   14.50,    6.34,  -29.63,   23.07,   -6.20,   -6.03,    0.46,   10.50,   0
